NoiseLevel,CNN_Accuracy,CNN_AUC,GraphSAGE_Accuracy,GraphSAGE_AUC
0,0.502933333333333,0.196050125387427,0.835733333333333,0.908790531883906
0.02,0.502933333333333,0.194569043300761,0.8356,0.907824311962097
0.05,0.502933333333333,0.188473117937001,0.8316,0.906379568903918
0.1,0.502933333333333,0.190416011473746,0.827866666666667,0.897126343761805
0.2,0.502933333333333,0.200979930615923,0.767333333333333,0.849175751186743
0.35,0.502933333333333,0.256239574752297,0.693733333333333,0.76928741938567
