Seed,Model,TestJets,Accuracy,AUC,TrainingSeconds,AUC_TestCI_Low,AUC_TestCI_High,Accuracy_TestCI_Low,Accuracy_TestCI_High
101,CNN,404000,0.910678217821782,0.968452350582622,620.948,0.9679687310019456,0.968935970163312,0.9097948270826957,0.9115537984299782
101,GraphSAGE,404000,0.865376237623762,0.928145584882932,407.085,0.9273357927297023,0.9289553770362398,0.8643202465311659,0.8664252801222618
101,ResNeXt-SE reference,404000,0.916443069306931,0.971681125172755,8582.031681,0.971231431252802,0.9721308190929291,0.915585789305774,0.9172924295433211
202,CNN,404000,0.910074257425743,0.969708515377552,633.243,0.9692392563649647,0.970177774390068,0.9091881968104276,0.9109525193960688
202,GraphSAGE,404000,0.860950495049505,0.927234227105742,356.765,0.9264048280230041,0.9280636261885608,0.8598801243411744,0.8620140013309217
202,ResNeXt-SE reference,404000,0.915594059405941,0.971471060655832,10217.053917,0.971016981969706,0.9719251393419285,0.9147328606859985,0.9164473545072821
303,CNN,404000,0.911007425742574,0.969698005131483,440.071,0.9692303999941494,0.9701656102688858,0.9101254954017549,0.9118815396917449
303,GraphSAGE,404000,0.871032178217822,0.92769968351796,254.135,0.926865243109157,0.928534123926764,0.8699951188326616,0.8720621814462375
303,ResNeXt-SE reference,404000,0.915811881188119,0.971617789985892,8022.568324,0.97116564233197,0.972069937639855,0.9149516853728946,0.916664169242286
