Model,Accuracy_Mean,Accuracy_SeedSD,Accuracy_SeedCI_Low,Accuracy_SeedCI_High,AUC_Mean,AUC_SeedSD,AUC_SeedCI_Low,AUC_SeedCI_High,TrainingSeconds_Mean
CNN,0.9105866336633662,0.00047327742439168827,0.9094109473653148,0.9117623199614177,0.9692862903638857,0.0007222321547803279,0.9674921662315572,0.9710804144962142,564.754
GraphSAGE,0.865786303630363,0.0050533354800476535,0.8532331223942506,0.8783394848664754,0.9276931651688779,0.00045571385338524816,0.9265611091999165,0.9288252211378393,339.3283333333333
ResNeXt-SE reference,0.915949669966997,0.00044095777993282857,0.9148542701165762,0.9170450698174178,0.9715899919381595,0.00010775585325547818,0.9713223115594257,0.9718576723168934,8940.551307333333
