Seed,NoiseSeed,Sigma,Model,TestJets,Accuracy,AUC
202,27,0.1,ResNeXt-SE reference,10000,0.8829,0.949714867005959
202,27,0.2,ResNeXt-SE reference,10000,0.7227,0.799202415818451
202,27,0.35,ResNeXt-SE reference,10000,0.5785,0.622549312624033
303,7,0.0,CNN,10000,0.9109,0.969845880545419
303,7,0.0,GraphSAGE,10000,0.8681,0.925022485756353
303,7,0.05,CNN,10000,0.9006,0.965348729274694
303,7,0.05,GraphSAGE,10000,0.8623,0.921155055694258
303,7,0.1,CNN,10000,0.8734,0.942910825171244
303,7,0.1,GraphSAGE,10000,0.8479,0.91053833781448
303,7,0.2,CNN,10000,0.7021,0.808121399078164
303,7,0.2,GraphSAGE,10000,0.7727,0.862901702835926
303,7,0.35,CNN,10000,0.5814,0.65912795675693
303,7,0.35,GraphSAGE,10000,0.6849,0.759874847961078
303,17,0.0,CNN,10000,0.9109,0.969845880545419
303,17,0.0,GraphSAGE,10000,0.8681,0.925022485756353
303,17,0.05,CNN,10000,0.9017,0.965566404999679
303,17,0.05,GraphSAGE,10000,0.863,0.921654823634851
303,17,0.1,CNN,10000,0.8745,0.943648854106651
303,17,0.1,GraphSAGE,10000,0.8498,0.910344088086549
303,17,0.2,CNN,10000,0.7008,0.806955520613277
303,17,0.2,GraphSAGE,10000,0.77,0.856083397349721
303,17,0.35,CNN,10000,0.5762,0.657902863132962
303,17,0.35,GraphSAGE,10000,0.683,0.747565936879841
303,27,0.0,CNN,10000,0.9109,0.969845880545419
303,27,0.0,GraphSAGE,10000,0.8681,0.925022485756353
303,27,0.05,CNN,10000,0.9018,0.965980891108123
303,27,0.05,GraphSAGE,10000,0.8647,0.922269180910313
303,27,0.1,CNN,10000,0.8739,0.943473389187631
303,27,0.1,GraphSAGE,10000,0.8499,0.911093159848921
303,27,0.2,CNN,10000,0.7022,0.805157240253505
303,27,0.2,GraphSAGE,10000,0.7726,0.863892236412521
303,27,0.35,CNN,10000,0.5804,0.658156187984124
303,27,0.35,GraphSAGE,10000,0.6825,0.750496287049485
303,7,0.0,ResNeXt-SE reference,10000,0.9154,0.970926357147429
303,7,0.05,ResNeXt-SE reference,10000,0.9042,0.966103462486396
303,7,0.1,ResNeXt-SE reference,10000,0.8782,0.946322018436719
303,7,0.2,ResNeXt-SE reference,10000,0.7248,0.787416858715831
303,7,0.35,ResNeXt-SE reference,10000,0.5781,0.599085986012419
303,17,0.0,ResNeXt-SE reference,10000,0.9154,0.970926357147429
303,17,0.05,ResNeXt-SE reference,10000,0.9052,0.966751268324691
303,17,0.1,ResNeXt-SE reference,10000,0.8773,0.945736028423276
303,17,0.2,ResNeXt-SE reference,10000,0.7231,0.785820330004481
303,17,0.35,ResNeXt-SE reference,10000,0.5779,0.600871723161129
303,27,0.0,ResNeXt-SE reference,10000,0.9154,0.970926357147429
303,27,0.05,ResNeXt-SE reference,10000,0.9077,0.968072226489981
303,27,0.1,ResNeXt-SE reference,10000,0.8817,0.947775410505089
303,27,0.2,ResNeXt-SE reference,10000,0.7295,0.791457393092631
303,27,0.35,ResNeXt-SE reference,10000,0.5777,0.602876876480379
