Difference,MeanAUC_Difference,TrainingSeedSD,TrainingSeedCI_Low,TrainingSeedCI_High,ConditionalTestCI_Low,ConditionalTestCI_High
GraphSAGE minus CNN,-0.041593125195007685,0.0011391561035896695,-0.04442294583150535,-0.03876330455851002,-0.04221871185754694,-0.04096753853246843
ResNeXt-SE reference minus CNN,0.00230370157427399,0.0008049851766200896,0.00030400753963202506,0.004303395608915955,0.0020083954291290327,0.002599007719418947
ResNeXt-SE reference minus GraphSAGE,0.04389682676928167,0.00035113057173219046,0.043024570074293285,0.04476908346427006,0.043243409775415534,0.04455024376314781
